"","id","pop"
"894","HG01857","KHV"
"895","HG01858","KHV"
"896","HG01859","KHV"
"897","HG01860","KHV"
"898","HG01861","KHV"
"899","HG01862","KHV"
"900","HG01863","KHV"
"901","HG01864","KHV"
"902","HG01865","KHV"
"903","HG01866","KHV"
"904","HG01867","KHV"
"905","HG01868","KHV"
"906","HG01869","KHV"
"907","HG01870","KHV"
"908","HG01871","KHV"
"909","HG01872","KHV"
"910","HG01873","KHV"
"911","HG01874","KHV"
"912","HG01878","KHV"
"913","HG01879","ACB"
"914","HG01880","ACB"
"915","HG01881","ACB"
"916","HG01882","ACB"
"917","HG01883","ACB"
"918","HG01884","ACB"
"919","HG01885","ACB"
"920","HG01886","ACB"
"921","HG01887","ACB"
"922","HG01888","ACB"
"923","HG01889","ACB"
"924","HG01890","ACB"
"925","HG01891","ACB"
"926","HG01892","PEL"
"927","HG01893","PEL"
"928","HG01894","ACB"
"929","HG01895","ACB"
"930","HG01896","ACB"
"931","HG01897","ACB"
"932","HG01898","PEL"
"933","HG01912","ACB"
"934","HG01914","ACB"
"935","HG01915","ACB"
"936","HG01916","ACB"
"937","HG01917","PEL"
"938","HG01918","PEL"
"939","HG01919","PEL"
"940","HG01920","PEL"
"941","HG01921","PEL"
"942","HG01922","PEL"
"943","HG01923","PEL"
"944","HG01924","PEL"
"945","HG01925","PEL"
"946","HG01926","PEL"
"947","HG01927","PEL"
"948","HG01928","PEL"
"949","HG01932","PEL"
"950","HG01933","PEL"
"951","HG01934","PEL"
"952","HG01935","PEL"
"953","HG01936","PEL"
"954","HG01937","PEL"
"955","HG01938","PEL"
"956","HG01939","PEL"
"957","HG01940","PEL"
"958","HG01941","PEL"
"959","HG01942","PEL"
"960","HG01943","PEL"
"961","HG01944","PEL"
"962","HG01945","PEL"
"963","HG01946","PEL"
"964","HG01947","PEL"
"965","HG01948","PEL"
"966","HG01949","PEL"
"967","HG01950","PEL"
"968","HG01951","PEL"
"969","HG01952","PEL"
"970","HG01953","PEL"
"971","HG01954","PEL"
"972","HG01955","PEL"
"973","HG01956","ACB"
"974","HG01958","ACB"
"975","HG01959","ACB"
"976","HG01960","ACB"
"977","HG01961","PEL"
"978","HG01965","PEL"
"979","HG01967","PEL"
"980","HG01968","PEL"
"981","HG01969","PEL"
"982","HG01970","PEL"
"983","HG01971","PEL"
"984","HG01972","PEL"
"985","HG01973","PEL"
"986","HG01974","PEL"
"987","HG01975","PEL"
"988","HG01976","PEL"
"989","HG01977","PEL"
"990","HG01978","PEL"
"991","HG01979","PEL"
"992","HG01980","PEL"
"993","HG01981","PEL"
"994","HG01982","PEL"
"995","HG01983","PEL"
"996","HG01984","PEL"
"997","HG01985","ACB"
"998","HG01986","ACB"
"999","HG01987","ACB"
"1000","HG01988","ACB"
"1001","HG01989","ACB"
"1002","HG01990","ACB"
"1003","HG01991","PEL"
"1004","HG01992","PEL"
"1005","HG01993","PEL"
"1006","HG01995","PEL"
"1007","HG01997","PEL"
"1008","HG01998","PEL"
"1009","HG02002","PEL"
"1010","HG02003","PEL"
"1011","HG02004","PEL"
"1012","HG02006","PEL"
"1013","HG02008","PEL"
"1014","HG02009","ACB"
"1015","HG02010","ACB"
"1016","HG02011","ACB"
"1017","HG02012","ACB"
"1018","HG02013","ACB"
"1019","HG02014","ACB"
"1020","HG02015","KHV"
"1021","HG02016","KHV"
"1022","HG02017","KHV"
"1023","HG02018","KHV"
"1024","HG02019","KHV"
"1025","HG02020","KHV"
"1026","HG02021","KHV"
"1027","HG02023","KHV"
"1028","HG02024","KHV"
"1029","HG02025","KHV"
"1030","HG02026","KHV"
"1031","HG02027","KHV"
"1032","HG02028","KHV"
"1033","HG02029","KHV"
"1034","HG02030","KHV"
"1035","HG02031","KHV"
"1036","HG02032","KHV"
"1037","HG02035","KHV"
"1038","HG02040","KHV"
"1039","HG02046","KHV"
"1040","HG02047","KHV"
"1041","HG02048","KHV"
"1042","HG02049","KHV"
"1043","HG02050","KHV"
"1044","HG02051","ACB"
"1045","HG02052","ACB"
"1046","HG02053","ACB"
"1047","HG02054","ACB"
"1048","HG02055","ACB"
"1049","HG02056","KHV"
"1050","HG02057","KHV"
"1051","HG02058","KHV"
"1052","HG02059","KHV"
"1053","HG02060","KHV"
"1054","HG02061","KHV"
"1055","HG02064","KHV"
"1056","HG02067","KHV"
"1057","HG02068","KHV"
"1058","HG02069","KHV"
"1059","HG02070","KHV"
"1060","HG02071","KHV"
"1061","HG02072","KHV"
"1062","HG02073","KHV"
"1063","HG02074","KHV"
"1064","HG02075","KHV"
"1065","HG02076","KHV"
"1066","HG02077","KHV"
"1067","HG02078","KHV"
"1068","HG02079","KHV"
